ID,TARGET
32933,0.5267615
32713,0.5267615
90799,0.5267615
30990,0.5267615
110120,0.5267615
64879,0.5267615
86700,0.5267615
32599,0.5267615
42504,0.5267615
30559,0.5267615
97930,0.5267615
41814,0.5267615
83325,0.5267615
104376,0.5267615
57754,0.5267615
90016,0.5267615
19652,0.5267615
62811,0.5267615
47551,0.5267615
11370,0.5267615
70550,0.5267615
49494,0.5267615
124132,0.5267615
30807,0.5267615
112804,0.5267615
70340,0.5267615
27515,0.5267615
74851,0.5267615
23773,0.5267615
1905,0.5267615
36533,0.5267615
85121,0.5267615
49630,0.5267615
120981,0.5267615
52205,0.5267615
89516,0.5267615
46859,0.5267615
95029,0.5267615
33309,0.5267615
36372,0.5267615
46642,0.5267615
77876,0.5267615
27967,0.5267615
63091,0.5267615
112046,0.5267615
100185,0.5267615
75328,0.5267615
119761,0.5267615
18970,0.5267615
93993,0.5267615
16516,0.5267615
111056,0.5267615
104819,0.5267615
1834,0.5267615
81597,0.5267615
21208,0.5267615
104115,0.5267615
60668,0.5267615
77085,0.5267615
31114,0.5267615
44601,0.5267615
39482,0.5267615
35622,0.5267615
105276,0.5267615
111644,0.5267615
19609,0.5267615
46831,0.5267615
67796,0.5267615
97497,0.5267615
43621,0.5267615
21305,0.5267615
31350,0.5267615
25638,0.5267615
39958,0.5267615
116905,0.5267615
63544,0.5267615
71318,0.5267615
119726,0.5267615
98813,0.5267615
66351,0.5267615
94473,0.5267615
113650,0.5267615
12016,0.5267615
114787,0.5267615
59160,0.5267615
76200,0.5267615
77519,0.5267615
53197,0.5267615
12077,0.5267615
112146,0.5267615
87227,0.5267615
71274,0.5267615
91319,0.5267615
27975,0.5267615
34909,0.5267615
70008,0.5267615
8719,0.5267615
12879,0.5267615
78498,0.5267615
117980,0.5267615
86705,0.5267615
45665,0.5267615
101761,0.5267615
106773,0.5267615
49470,0.5267615
76997,0.5267615
122677,0.5267615
51579,0.5267615
75429,0.5267615
7196,0.5267615
57834,0.5267615
18762,0.5267615
60024,0.5267615
91935,0.5267615
37195,0.5267615
45366,0.5267615
78321,0.5267615
31308,0.5267615
219,0.5267615
37532,0.5267615
93392,0.5267615
21536,0.5267615
54080,0.5267615
22147,0.5267615
89698,0.5267615
92849,0.5267615
4855,0.5267615
12988,0.5267615
75952,0.5267615
92039,0.5267615
36456,0.5267615
98659,0.5267615
108163,0.5267615
56935,0.5267615
60366,0.5267615
33317,0.5267615
63699,0.5267615
92138,0.5267615
58368,0.5267615
52166,0.5267615
61821,0.5267615
54413,0.5267615
107351,0.5267615
109938,0.5267615
62470,0.5267615
24453,0.5267615
116107,0.5267615
27751,0.5267615
53375,0.5267615
57102,0.5267615
44187,0.5267615
54241,0.5267615
51642,0.5267615
70917,0.5267615
84722,0.5267615
25283,0.5267615
89106,0.5267615
116544,0.5267615
64814,0.5267615
70345,0.5267615
65943,0.5267615
88437,0.5267615
34393,0.5267615
71405,0.5267615
22288,0.5267615
71863,0.5267615
102765,0.5267615
45463,0.5267615
28616,0.5267615
16888,0.5267615
3345,0.5267615
10439,0.5267615
7506,0.5267615
117131,0.5267615
50448,0.5267615
47119,0.5267615
40832,0.5267615
58634,0.5267615
4825,0.5267615
107712,0.5267615
106090,0.5267615
95974,0.5267615
18969,0.5267615
24427,0.5267615
83219,0.5267615
31307,0.5267615
27371,0.5267615
20212,0.5267615
22287,0.5267615
55792,0.5267615
124159,0.5267615
49055,0.5267615
34595,0.5267615
38653,0.5267615
11365,0.5267615
62740,0.5267615
51615,0.5267615
96456,0.5267615
17369,0.5267615
28545,0.5267615
123930,0.5267615
12249,0.5267615
46122,0.5267615
82569,0.5267615
25517,0.5267615
49118,0.5267615
12387,0.5267615
1451,0.5267615
46907,0.5267615
62122,0.5267615
62793,0.5267615
80038,0.5267615
112769,0.5267615
13833,0.5267615
117387,0.5267615
98295,0.5267615
117040,0.5267615
69156,0.5267615
108383,0.5267615
80162,0.5267615
90487,0.5267615
57007,0.5267615
122164,0.5267615
98934,0.5267615
22013,0.5267615
121276,0.5267615
121619,0.5267615
66475,0.5267615
7160,0.5267615
101439,0.5267615
114406,0.5267615
25628,0.5267615
81898,0.5267615
93667,0.5267615
87454,0.5267615
85894,0.5267615
35880,0.5267615
33368,0.5267615
56837,0.5267615
9759,0.5267615
8980,0.5267615
86473,0.5267615
118492,0.5267615
29785,0.5267615
4954,0.5267615
94226,0.5267615
25787,0.5267615
100373,0.5267615
116172,0.5267615
89868,0.5267615
89622,0.5267615
91351,0.5267615
77755,0.5267615
46760,0.5267615
7767,0.5267615
120572,0.5267615
29163,0.5267615
62600,0.5267615
93316,0.5267615
121961,0.5267615
96668,0.5267615
81910,0.5267615
68634,0.5267615
31080,0.5267615
109041,0.5267615
99814,0.5267615
112044,0.5267615
81866,0.5267615
55253,0.5267615
5213,0.5267615
95650,0.5267615
3744,0.5267615
19020,0.5267615
64387,0.5267615
3803,0.5267615
72598,0.5267615
106969,0.5267615
7535,0.5267615
59700,0.5267615
9414,0.5267615
107049,0.5267615
117550,0.5267615
30168,0.5267615
119586,0.5267615
87756,0.5267615
99601,0.5267615
86645,0.5267615
115488,0.5267615
101469,0.5267615
361,0.5267615
49542,0.5267615
79688,0.5267615
95116,0.5267615
86092,0.5267615
70365,0.5267615
85203,0.5267615
27182,0.5267615
52390,0.5267615
40108,0.5267615
78524,0.5267615
101801,0.5267615
120810,0.5267615
29048,0.5267615
107985,0.5267615
18056,0.5267615
6486,0.5267615
92567,0.5267615
71959,0.5267615
56836,0.5267615
115995,0.5267615
27472,0.5267615
97544,0.5267615
63071,0.5267615
118130,0.5267615
28409,0.5267615
100355,0.5267615
23544,0.5267615
41256,0.5267615
119245,0.5267615
5537,0.5267615
73118,0.5267615
56043,0.5267615
118876,0.5267615
87033,0.5267615
8049,0.5267615
100268,0.5267615
110317,0.5267615
109547,0.5267615
14730,0.5267615
94952,0.5267615
107556,0.5267615
40891,0.5267615
112923,0.5267615
68243,0.5267615
64292,0.5267615
90716,0.5267615
55756,0.5267615
69880,0.5267615
122207,0.5267615
13677,0.5267615
11216,0.5267615
125008,0.5267615
46094,0.5267615
82982,0.5267615
96309,0.5267615
50725,0.5267615
70310,0.5267615
111706,0.5267615
50762,0.5267615
45479,0.5267615
41741,0.5267615
112337,0.5267615
51054,0.5267615
54007,0.5267615
53753,0.5267615
35644,0.5267615
21693,0.5267615
1142,0.5267615
53739,0.5267615
61790,0.5267615
121504,0.5267615
53204,0.5267615
79840,0.5267615
60801,0.5267615
56861,0.5267615
35442,0.5267615
36072,0.5267615
103482,0.5267615
7974,0.5267615
53790,0.5267615
77715,0.5267615
115484,0.5267615
